efta,justice_gov_url,dataset,pages,scan_content_length,scan_last_modified,sample_verified,first_page_preview
EFTA00030715,https://www.justice.gov/epstein/files/DataSet%208/EFTA00030715.pdf,8,5,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: '   r   (USANYS)""   Subject: RE: update on social visit?  Date: Fri, 30 Aug 2019 17:31:45 +0000  Agree.  From:  (USANYS)   Sent: Friday, August 30, 2019 7:56 AM  To:  Subject: Fwd: update"
EFTA00031428,https://www.justice.gov/epstein/files/DataSet%208/EFTA00031428.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: Nathan NYSD Chambers  To: Christian Everdell    Cc:  Laura Menninge  bcstemheim ma  Subject: Re: Letter re: Electronic Device Permission  Date: 'rue, 13 Apr 2021 15:20:29 +0000  Attachments: Ele"
EFTA00032518,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032518.pdf,8,29,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: The Washington Post  <email@washingtonpost.com>  To: <I     Subject:The Daily 202: Ifs personal for the lead sponsors of the Iran war powers resolutions  Date: Fri, 10 Jan 2020 17:21:51 +0000  I"
EFTA00032569,https://www.justice.gov/epstein/files/DataSet%208/EFTA00032569.pdf,8,3,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"#  #  #  ON EMBARGO UNTIL  Thursday June 25, 2020 at 6:30am EST  CONTACT  Jeff Solnet  Jeff@PrecisionStrategies.com  561-926.0909  Renowned Claims Resolution Experts Announce Commencement of the  Epst"
EFTA00035791,https://www.justice.gov/epstein/files/DataSet%208/EFTA00035791.pdf,8,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Fox News Tucker Carlson Segment  January 25, 2023  Summary  Tucker Carlson: So you would think as the Attorney General (referring to Bill Barr) his first concern would  be finding out what actually ha"
EFTA00038416,https://www.justice.gov/epstein/files/DataSet%208/EFTA00038416.pdf,8,7,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To:'  Subject: Re: RE:  Date: Tue, 21 Apr 2020 17:13:27 +0000  Importance: Normal  Thanks a  I think they need a specific month and year. I bcc you on the email to M.  On Apr 21, 2020 1:12 PM"
EFTA00039421,https://www.justice.gov/epstein/files/DataSet%209/EFTA00039421.pdf,9,239,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"UNITED STATES DISTRICT COURT  SOUTHERN DISTRICT OF NEW YORK  x  UNITED STATES OF AMERICA  S 120 Cr. 330 (AJN)  GHISLAINE MAXWELL,  Defendant.  x  THE GOVERNMENT'S OMNIBUS MEMORANDUM IN OPPOSITION  TO"
EFTA00041963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00041963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Psych Reconst - Epstein #76318-054  From  Lee Plourde  To  NYM/Executive Staff  Date  2019/10/04 09:18  Subject:  Psych Reconst - Epstein #76318-054  Attachments:  TEXT.htm, Psych Reconst - Epstein #7"
EFTA00042963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00042963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Properties  Property  Value  MessagelD  5D77E62B.NERDOMI.NERADM1.100.1367333.1.1 5657.1  Message Path  xmllTrash/SD77E628.NEFtDOMI.NERADMI.100.1 367333.1.15657.1.xml  From  Google Alerts  Display Name
EFTA00043963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00043963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Display Name  Email  UUID  6ICE9350-0B4F-0000-AB39-E8Of'2A59A443  Distribution 'I've  TO  Recipient Type  SysternGroupMember  Recipient  Display Name  Email  IRA D  9D77B2D0-19C1-0000-A9894Y2C00000S8D
EFTA00044963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00044963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"5ke_An  -3631?-05M    \ct  -1Arg   -c - 1nmck\e-- iceP5\-cin   \-ec-PinS  5;..rm_j_i_trAcALCFMeav‘  cm.ihkg 5h.„,a_  vnl Y\Ae-- — 61 cAb tse:  ‘rvr‘eAke— OP S\--e-A`r•  *5\e€ 9v-L,SH    tYyrric-Ne."
EFTA00045963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00045963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Audits  Date  Action  Auditor  Note  2019-08-19 142823 EDT Created  errArchise Agent  Archive  1.en-lobsirr2-Zero Day  GWOpenNode.cn-archis  iig.crnetnoil  Generated by Neonail Inc. lereArchivc  Agent
EFTA00046963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00046963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"bUlJblAlptitil I.  Manage my email newsletters and alerts I Unsubscribe from The Daily 202  Privacy Policy I Help  ©2019 The Washington Post  1301 K St NW, Washington DC 20071  Page 17452  EFTA0004696"
EFTA00053963,https://www.justice.gov/epstein/files/DataSet%209/EFTA00053963.pdf,9,1000,20,"Tue, 02 Sep 2025 17:24:21 GMT",,Date:  08/19/2019  L•mc:  i0:15 Am  Federal Bureau of Prisons  TRUINTEL  Log Entries By Event Date  Sensitive But Unclassified  Entered Date  Alpha Code Level 1 Location  Level 2 Location  Level 3 Loc
EFTA00066191,https://www.justice.gov/epstein/files/DataSet%209/EFTA00066191.pdf,9,25,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"306  425 FEDERAL SUPPLEMENT, 3d SERIES  t  In short, the issue now before the Court  has arisen only because Donziger unjustifi- ably has refused to comply with his discov- ery obligations. Had he don"
EFTA00066216,https://www.justice.gov/epstein/files/DataSet%209/EFTA00066216.pdf,9,91,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"k7e2MaxC kjc  UNITED STATES DISTRICT COURT  SOUTHERN DISTRICT OF NEW YORK  x  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  UNITED STATES OF AMERICA,  v.  GHISLAINE"
EFTA00067093,https://www.justice.gov/epstein/files/DataSet%209/EFTA00067093.pdf,9,5,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"UNCLASSIFIED//LES  (U) LAW ENFORCEMENT SENSITIVE: The rfarnabon marked (WILES) in this document is the property of FBI and may be distributed within the Federal  Government (and its contractors), US i"
EFTA00068319,https://www.justice.gov/epstein/files/DataSet%209/EFTA00068319.pdf,9,5,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  "" aMIE>  To: ""Hudgens, Johanna Rae"" <=IMI >  Cc: ""Bloom Suzanne Jaffe""  , '  ""  t,  ""  Subject: Re: SDNY Grand Jury Subpoena Dated July 5, 2019 issued to  Date: Sun, 04 Aug 2019 00:10:36 +0000"
EFTA00068582,https://www.justice.gov/epstein/files/DataSet%209/EFTA00068582.pdf,9,287,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"120  LBUCmaxl  UNITED STATES DISTRICT COURT  SOUTHERN DISTRICT OF NEW YORK  x  4  5  6  7  8  9  10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  UNITED STATES OF AMERICA,  v.  GHISLAIN"
EFTA00068895,https://www.justice.gov/epstein/files/DataSet%209/EFTA00068895.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00068895
EFTA00072648,https://www.justice.gov/epstein/files/DataSet%209/EFTA00072648.pdf,9,7,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  To:  Cc:  Subject: FW: CRUCIAL EVIDENCE FEGARDING TO JEFFREY EPSTEIN'S DEATH/TRAFFICKING  RINGS/MAIN CONNECTIONS  Date: Tue, 14 Jul 2020 14:08:42 +0000  Forwarding per our practice.  Thanks,  A"
EFTA00072666,https://www.justice.gov/epstein/files/DataSet%209/EFTA00072666.pdf,9,4,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: ""  To: '  Cc: Subject: Re: Access to the audio phone line for the bail hearing for G. Maxwell on Tuesday  Date: Tue, 14 Jul 2020 02:01:09 +0000  lane-Images: image001.png; image002.png  I think"
EFTA00072670,https://www.justice.gov/epstein/files/DataSet%209/EFTA00072670.pdf,9,4,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: Gloria Allred Cc: '  "" <  >  Subject: Re: Access to the audio phone line for the bail hearing for G. Maxwell on Tuesday  Date: Tue, 14 Jul 2020 02:26:36 +0000  Inline-Images: image001.png"
EFTA00073493,https://www.justice.gov/epstein/files/DataSet%209/EFTA00073493.pdf,9,44,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"In re Wild, 955 F.3d 1196 (2020)  28 Fla. L. Weekly Fed. C 1020  955 Pad 1196  United States Court of Appeals, Eleventh Circuit.  IN RE:  Petitioner.  No. 19-13843  (April 14, 2020)  Synopsis  Backgro"
EFTA00074119,https://www.justice.gov/epstein/files/DataSet%209/EFTA00074119.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Page 6  Daily Mail, ',Vednesclay, January 29, 2020  Dally Mall, Wednesday. la nuary 29, 2020  Page 7  Wanted: Anne Sacoolas  I will talk to FBI,  Andrew tells pals  By Rebecca English  and Sam Greenhi"
EFTA00075055,https://www.justice.gov/epstein/files/DataSet%209/EFTA00075055.pdf,9,209,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Ces2e.29-12,407413r3cliAlienDtidutinEl t310282 if663615/233/2174ig Plage aoat 9  HADDON  MORGAN  FOREMAN  July 29, 2020  Honorable Loretta A. Preska  United States District Court  Southern District of"
EFTA00075469,https://www.justice.gov/epstein/files/DataSet%209/EFTA00075469.pdf,9,3,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To: Christine Delince   Cc:  (USANYS ""  , ""  SANYS)""  (USANYS)""  Subject: Re:  Date: Thu, 22 Oct 2020 01:54:08 +0000  (USANYS)""   Hi Christine,  He was sentenced in his own case, and we don't"
EFTA00075817,https://www.justice.gov/epstein/files/DataSet%209/EFTA00075817.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"taw Q  •  Can  just heara.  Sunday, August 11, 2019  Jonathan Dienst  keeps trying to con- firm if Epstien was  on suicide watch.  Not sure if he is  reaching out to you  or not but remember  to stick"
EFTA00075877,https://www.justice.gov/epstein/files/DataSet%209/EFTA00075877.pdf,9,5,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"-COM Dek-tth  moved  Mgt 4-0 CA  \\vat ;n H a.wa4 i , Not, Ail €0.16  slaked le2aeA2 fa CA. slike  ad  out4 in (re/sit st  came  4 movec( if)  we became hi  she  ivorlon5 For Ain at ti MC  0 -ft) *ifs"
EFTA00077300,https://www.justice.gov/epstein/files/DataSet%209/EFTA00077300.pdf,9,3,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From:  To: Amanda Young  Subject: [EXTERNAL EMAIL] - Date: Mon, 20 Sep 2021 20:25:  Importance: Normal  lane-Images: IMG_8829.jpg; IMG_8828.JPG; IMG_8827.JPG; IMG_8826.JPG; IMG_8825.JPG;  IMG_8824.JPG"
EFTA00077499,https://www.justice.gov/epstein/files/DataSet%209/EFTA00077499.pdf,9,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: '  To:  Subject: Fwd: RE: UK / US Contact Details  Date: Wed, 11 Dec 2019 11:43:37 +0000  Attachments: AMENDED_Ietter_to_United_States_Attorney.pdf; image001.png  Inline-Images: image003.png; im"
EFTA00077502,https://www.justice.gov/epstein/files/DataSet%209/EFTA00077502.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00077502
EFTA00077606,https://www.justice.gov/epstein/files/DataSet%209/EFTA00077606.pdf,9,239,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"UNITED STATES DISTRICT COURT  SOUTHERN DISTRICT OF NEW YORK  x  UNITED STATES OF AMERICA  S 120 Cr. 330 (AJN)  GHISLAINE MAXWELL,  Defendant.  x  THE GOVERNMENT'S OMNIBUS MEMORANDUM IN OPPOSITION  TO"
EFTA00078282,https://www.justice.gov/epstein/files/DataSet%209/EFTA00078282.pdf,9,24,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"SDNY News Clips, Friday, August 16, 2019  SDNY News Clips  Friday, August 16, 2019  Contents  Public Corruption  2  Avenatti  2  Epstein  5  Complex Frauds and Cybercrime  12  Panama Papers  12  Golds"
EFTA00078956,https://www.justice.gov/epstein/files/DataSet%209/EFTA00078956.pdf,9,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"To:  From:  Sent:  Thur 7123/2009 3:35:21 PM (UTC)  Subject:  RE: Jeffrey Epstein  Thx.  . BTW, I don't know anything about cooperation by him period. Do I need to know ?  From:  C. (USAFLS)  Sent: Th"
EFTA00079344,https://www.justice.gov/epstein/files/DataSet%209/EFTA00079344.pdf,9,2,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: ""  )"" <  To: ""Bloom, Suzanne Jaffe"" < E>  Cc: ""Hudgens, Johanna Rae""  Subject: RE: SDNY Grand Jury Subpoena Dated July 5, 2019 issued to  Date: Tue, 23 Jul 2019 18:55:12 +0000  Attachments: blan"
EFTA00079858,https://www.justice.gov/epstein/files/DataSet%209/EFTA00079858.pdf,9,4,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: ""Bloom, Suzanne Jaffe""  To: 'SI  Cc: ""Bud ens, Johanna Rae""  '  ""  II  Subject: Re: SDNY Grand Jury Subpoena Dated July 5, 2019 issued to  Date: Tue, 13 Aug 2019 20:23:34 +0000  Are you availabl"
EFTA00079911,https://www.justice.gov/epstein/files/DataSet%209/EFTA00079911.pdf,9,14,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"From: ' „cl  To: ' Subject: RE: SDNY Grand Jury Subpoena Dated July 5, 2019 issued to  Date: Fri, 23 Aug 2019 20:40:59 +0000  9/5 is pretty full for me, but I'm free all day 9/6. I'll propose that.  F"
EFTA00081867,https://www.justice.gov/epstein/files/DataSet%209/EFTA00081867.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,CerirAvirwealth I -\\it ik  Commonvtiealth Bank of Australia  ABN 48 123 123 124  Enterprise Services  Processing Services Sydney  31 Binge Ave  PO Box 492  L rcloombe NSW 2141  Lidcombe NSW 1825  Aus
EFTA00082239,https://www.justice.gov/epstein/files/DataSet%209/EFTA00082239.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Select a hotel  Anal, diy. or addrosa  Stockholm. se  Onate ~on  •Øn  • Dade out  0201120  0207/20  Roans  V  • • regal  lissrett  Property fifers  Rasa Property Fliers  2 Hem socl cm!  El leak out at"
EFTA00083548,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083548.pdf,9,11,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"HOURS  9/6/03 SAT  12:30-1:30  :,:1:11:4R AIRPORT PICK-UP COOK  9/9/0,+TUES;  e 1 1NOF ICERS. *.-4;n:aoreinite, 9/10/03 WED. 9:00-2:00:e-!:  5;HOURS- ""  -4  •  •  9/11/03 THURS 10:00-12:30  2 .1i2 sHD"
EFTA00083683,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083683.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,EFTA00083683
EFTA00083800,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083800.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,FD-302 (Res•. 5-8-10)  .1 of 1.  FEDERAL BUREAU OF INVESTIGATION  Oze  Date of entry    02/23/2021 EVA DUBIN was given an introductory meet with the case team over video  conference. Present via video
EFTA00083880,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083880.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Click here for updates on  United States v. Jeffrey Epstein,  19 Cr. 490 (RMB)  If you believe you were a victim  of Jeffrey Epstein or have  information about the  allegations in the Indictment,  ple"
EFTA00083912,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083912.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"Secured Message  Reply  From.  Matthew Goldsmith  To:  Recipients  Date:  07/24/2019 08:13:41 PM GMT  Subject  Your LERT Case (#190114588) case packet titled ""email"" Response vzwappsecure  Attachments"
EFTA00083988,https://www.justice.gov/epstein/files/DataSet%209/EFTA00083988.pdf,9,1,20,"Tue, 02 Sep 2025 17:24:21 GMT",,"09  Account Number. JEFFREY EPSTEIN  September 01, 2002 - September 30, 2002  JPMorgan Chase Bank  2002  345 Park Avenue, New York, NY 10154-1002  q1PMorgan Private Bank  Asset Account Portfolio  Page"
