efta_number,entity_type,entity_value,corpus_hit_count,registry_match,phone_csv_match,dataset,llm_classification,llm_sensitivity
EFTA00201731,account,0031035751,341,,0,9,NAME_REMOVAL,MEDIUM
EFTA01589754,account,739110438,247,,0,10,PHONE_REMOVAL,MEDIUM
EFTA01375243,account,44130552,227,,0,10,FINANCIAL_RECORD,HIGH
EFTA01656500,account,7171018893,189,,0,10,METADATA_STRIP,LOW
EFTA01525794,account,04103,180,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265978,account,-2170,180,,0,10,NAME_REMOVAL,MEDIUM
EFTA02728999,account,000-000-0000,176,,0,11,FINANCIAL_RECORD,MEDIUM
EFTA00264019,account,5650,164,,0,9,NAME_REMOVAL,MEDIUM
EFTA01595652,account,7017-,152,,0,10,NAME_REMOVAL,MEDIUM
EFTA01704193,account,04123,126,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656500,account,7191415759,124,,0,10,METADATA_STRIP,LOW
EFTA00151554,account,7191415759,124,,0,9,METADATA_STRIP,MEDIUM
EFTA00092643,account,2968,120,,0,9,NAME_REMOVAL,MEDIUM
EFTA00105307,account,2968,120,,0,9,NAME_REMOVAL,MEDIUM
EFTA01656500,account,7171030625,107,,0,10,METADATA_STRIP,LOW
EFTA00151554,account,7171030625,107,,0,9,METADATA_STRIP,MEDIUM
EFTA01595509,account,9998,95,,0,10,FINANCIAL_RECORD,HIGH
EFTA00186431,account,33477,36,,0,9,NAME_REMOVAL,MEDIUM
EFTA01656686,account,00000000000739116312,32,,0,10,NAME_REMOVAL,HIGH
EFTA01265978,account,603118,31,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265479,account,1229200,19,,0,10,METADATA_STRIP,MEDIUM
EFTA01525654,account,000003026629885,18,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656415,account,41224708,16,,0,10,METADATA_STRIP,MEDIUM
EFTA01656452,account,41224708,16,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265978,account,41224708,16,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265479,account,3182310,13,,0,10,METADATA_STRIP,MEDIUM
EFTA01337069,account,20968,13,,0,10,NAME_REMOVAL,MEDIUM
EFTA01482312,account,69845623,11,,0,10,PHONE_REMOVAL,MEDIUM
EFTA01656415,account,14332170,10,,0,10,METADATA_STRIP,MEDIUM
EFTA01771355,account,02163,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01771434,account,02163,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01843632,account,02163,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01843682,account,02163,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265479,account,1230206,10,,0,10,METADATA_STRIP,MEDIUM
EFTA01265978,account,14332170,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01337069,account,37744,10,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656500,account,7211096827,6,,0,10,METADATA_STRIP,LOW
EFTA01656500,account,7171030966,6,,0,10,METADATA_STRIP,LOW
EFTA00151554,account,7171030966,6,,0,9,METADATA_STRIP,MEDIUM
EFTA01656452,account,11481413,5,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265978,account,11481413,5,,0,10,NAME_REMOVAL,MEDIUM
EFTA01407994,account,130117951140,4,,0,10,NAME_REMOVAL,HIGH
EFTA01580727,account,444019,4,,0,10,PHONE_REMOVAL,MEDIUM
EFTA01265479,account,1223850,4,,0,10,METADATA_STRIP,MEDIUM
EFTA01265479,account,1240000,4,,0,10,METADATA_STRIP,MEDIUM
EFTA00193068,account,3713-858472-38009,4,,0,9,NAME_REMOVAL,MEDIUM
EFTA01265978,account,4122-4708,3,,0,10,NAME_REMOVAL,MEDIUM
EFTA02073136,account,41144-2081-6,2,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265479,account,2630201,2,,0,10,METADATA_STRIP,MEDIUM
EFTA01265479,account,1918797,2,,0,10,METADATA_STRIP,MEDIUM
EFTA01265479,account,3276502,2,,0,10,METADATA_STRIP,MEDIUM
EFTA01525843,account,000003026629685,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01525948,account,000003026629085,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01579906,account,x0438,1,,0,10,NAME_REMOVAL,HIGH
EFTA01595575,account,199114,1,,0,10,FINANCIAL_RECORD,HIGH
EFTA01265479,account,1654120,1,,0,10,METADATA_STRIP,MEDIUM
EFTA01265479,account,1917250,1,,0,10,METADATA_STRIP,MEDIUM
EFTA01265978,account,11441411,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01292038,account,9419862313,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01292472,account,965724018,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01299649,account,84003301,1,,0,10,FINANCIAL_RECORD,HIGH
EFTA01309619,account,10043811863,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01338104,account,1410113340141,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA01525938,account,000003026629585,1,,0,10,NAME_REMOVAL,MEDIUM
EFTA00264747,account,500007281016,1,,0,9,NAME_REMOVAL,MEDIUM
EFTA01595397,account,514194,0,,0,10,NAME_REMOVAL,HIGH
EFTA01265978,account,*300,0,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265978,account,*42952771,0,,0,10,NAME_REMOVAL,MEDIUM
EFTA00090685,account,*561,0,,0,9,NAME_REMOVAL,MEDIUM
EFTA00796930,account,151161180,0,,0,9,NAME_REMOVAL,MEDIUM
EFTA00811742,account,739-110438,0,,0,9,NAME_REMOVAL,MEDIUM
EFTA00829513,account,009419862313,0,,0,9,NAME_REMOVAL,MEDIUM
EFTA01257962,account,0043811863,0,,0,9,,
EFTA01258416,account,0043811863,0,,0,9,,
EFTA01387986,address,"575 Lexington Avenue",28429,,0,10,NAME_REMOVAL,MEDIUM
EFTA02050990,address,"575 Lexington Avenue",28429,,0,10,NAME_REMOVAL,MEDIUM
EFTA02167185,address,"575 Lexington Avenue",28429,,0,10,NAME_REMOVAL,MEDIUM
EFTA02222654,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,HIGH
EFTA02222674,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02226888,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02245035,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02288792,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02354651,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02480294,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA02480401,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,HIGH
EFTA02664604,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA01265978,address,"575 LEXINGTON AVENUE",28429,,0,10,NAME_REMOVAL,MEDIUM
EFTA01273102,address,"575 LEXINGTON AVENUE",28429,,0,10,NAME_REMOVAL,MEDIUM
EFTA02664938,address,"575 Lexington Avenue",28429,,0,11,NAME_REMOVAL,MEDIUM
EFTA00168663,address,"575 Lexington Avenue",28429,,0,9,NAME_REMOVAL,MEDIUM
EFTA00168878,address,"575 Lexington Avenue",28429,,0,9,NAME_REMOVAL,MEDIUM
EFTA00311316,address,"575 LEXINGTON AVENUE",28429,,0,9,NAME_REMOVAL,MEDIUM
EFTA00311323,address,"575 LEXINGTON AVENUE",28429,,0,9,NAME_REMOVAL,MEDIUM
EFTA00343033,address,"575 Lexington Avenue",28429,,0,9,NAME_REMOVAL,MEDIUM
EFTA01357355,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01402667,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,HIGH
EFTA01402700,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,HIGH
EFTA01407101,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01430282,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01430759,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656409,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656432,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656437,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656447,address,"345 Park Avenue",25276,,0,10,METADATA_STRIP,MEDIUM
EFTA01656517,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656556,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01361098,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,HIGH
EFTA01284180,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01284803,address,"345 Park Avenue",25276,,0,10,FINANCIAL_RECORD,HIGH
EFTA01285134,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,HIGH
EFTA01285214,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01286686,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01286866,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287092,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287313,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287382,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287602,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01287680,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01288348,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01288374,address,"345 Park Avenue",25276,,0,10,NAME_REMOVAL,MEDIUM
EFTA01316643,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01316893,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01317297,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01317346,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01318267,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01318295,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01318597,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01318688,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01318826,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01319106,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01319252,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01319475,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656566,address,"457 Madison Ave",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656566,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01656686,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,HIGH
EFTA01314553,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314720,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314734,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314827,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314867,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314988,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01315306,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01315311,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01315502,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01265496,address,"457 Madison Ave",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01266111,address,"457 madison ave",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01298810,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01310111,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01310283,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01312620,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01312648,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01312843,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01313029,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01313688,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,HIGH
EFTA01313776,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01313950,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314000,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314216,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01314230,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01319680,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01337069,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA01337236,address,"457 MADISON AVE",8032,,0,10,PHONE_REMOVAL,HIGH
EFTA01338104,address,"457 MADISON AVE",8032,,0,10,NAME_REMOVAL,MEDIUM
EFTA00186431,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201533,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201613,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201627,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201639,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00201649,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00202442,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203827,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203839,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203855,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203867,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203879,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203891,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203905,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203919,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203931,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203945,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203959,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203975,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00203989,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00204005,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00204035,address,"457 MADISON AVE",8032,,0,9,FINANCIAL_RECORD,HIGH
EFTA00216473,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216521,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216529,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216584,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216624,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216637,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216645,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216680,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216695,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216727,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216733,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216743,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216766,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216814,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216838,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216851,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216867,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216920,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216973,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00216981,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217005,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217062,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217072,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217104,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217132,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217164,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217172,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217182,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217214,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217352,address,"457 MADISON AVE",8032,,0,9,METADATA_STRIP,LOW
EFTA00217449,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217465,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217535,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217632,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217772,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217802,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217824,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217842,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217842,address,"457 MADISON  AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217853,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217863,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217873,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217878,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217938,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217943,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00217957,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218033,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218048,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218048,address,"457 MADISON  AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218105,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218115,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218140,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218166,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218166,address,"457 MADISON  AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218194,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218200,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218217,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218217,address,"457 MADISON  AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218235,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218246,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218262,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218314,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218353,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218371,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218379,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218399,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218408,address,"457 MADISON  AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218428,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218467,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218481,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218490,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218507,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218533,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218539,address,"457 MADISON AVE",8032,,0,9,METADATA_STRIP,MEDIUM
EFTA00218545,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218608,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218618,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218691,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218712,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218733,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218756,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218782,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218805,address,"457 MADISON AVE",8032,,0,9,METADATA_STRIP,LOW
EFTA00218814,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
EFTA00218851,address,"457 MADISON AVE",8032,,0,9,NAME_REMOVAL,MEDIUM
